transaction_id,timestamp,amount,currency,customer_id,merchant_id,device_id,payment_instrument_id,is_fraud
TXN_DEMO_0001,2026-03-01 08:15:20,450.00,INR,CUST_1001,MERCH_GROCERY_01,DEV_ANDROID_991,CARD_TOKEN_8801,0
TXN_DEMO_0002,2026-03-01 08:22:10,1200.00,INR,CUST_1002,MERCH_COFFEE_04,DEV_IPHONE_332,CARD_TOKEN_8802,0
TXN_DEMO_0003,2026-03-01 08:45:00,320.00,INR,CUST_1003,MERCH_TRANSIT_01,DEV_PIXEL_119,CARD_TOKEN_8803,0
TXN_DEMO_0004,2026-03-01 09:10:15,2400.00,INR,CUST_1004,MERCH_RETAIL_12,DEV_SAMSUNG_441,CARD_TOKEN_8804,0
TXN_DEMO_0005,2026-03-01 09:30:45,650.00,INR,CUST_1001,MERCH_GROCERY_01,DEV_ANDROID_991,CARD_TOKEN_8801,0
TXN_DEMO_0006,2026-03-01 09:45:10,150.00,INR,CUST_1005,MERCH_COFFEE_04,DEV_IPHONE_772,CARD_TOKEN_8805,0
TXN_DEMO_0007,2026-03-01 10:05:00,890.00,INR,CUST_1006,MERCH_RETAIL_02,DEV_XIAOMI_551,CARD_TOKEN_8806,0
TXN_DEMO_0008,2026-03-01 10:15:30,3500.00,INR,CUST_1007,MERCH_ELECTRONICS_01,DEV_ONEPLUS_881,CARD_TOKEN_8807,0
TXN_DEMO_0009,2026-03-01 10:35:12,420.00,INR,CUST_1008,MERCH_GROCERY_02,DEV_IPHONE_992,CARD_TOKEN_8808,0
TXN_DEMO_00010,2026-03-01 11:00:00,1850.00,INR,CUST_1002,MERCH_RETAIL_05,DEV_IPHONE_332,CARD_TOKEN_8802,0
TXN_DEMO_00011,2026-03-01 11:15:22,48000.00,INR,CUST_1009,MERCH_JEWELRY_01,DEV_NEW_UNKNOWN_01,CARD_TOKEN_8809,1
TXN_DEMO_00012,2026-03-01 11:20:00,25.00,INR,CUST_BOT_01,MERCH_ONLINE_GAME_01,DEV_BOTNET_01,CARD_STOLEN_9901,1
TXN_DEMO_00013,2026-03-01 11:22:15,30.00,INR,CUST_BOT_02,MERCH_ONLINE_GAME_01,DEV_BOTNET_01,CARD_STOLEN_9901,1
TXN_DEMO_00014,2026-03-01 11:24:40,28.00,INR,CUST_BOT_03,MERCH_ONLINE_GAME_02,DEV_BOTNET_01,CARD_STOLEN_9901,1
TXN_DEMO_00015,2026-03-01 11:26:50,35.00,INR,CUST_BOT_04,MERCH_ONLINE_GAME_02,DEV_BOTNET_01,CARD_STOLEN_9901,1
TXN_DEMO_00016,2026-03-01 11:29:10,25.00,INR,CUST_BOT_05,MERCH_ONLINE_GAME_03,DEV_BOTNET_01,CARD_STOLEN_9901,1
TXN_DEMO_00017,2026-03-01 11:45:00,2100.00,INR,CUST_1010,MERCH_APPAREL_01,DEV_IPHONE_441,CARD_TOKEN_8810,0
TXN_DEMO_00018,2026-03-01 12:00:15,750.00,INR,CUST_1003,MERCH_FOOD_08,DEV_PIXEL_119,CARD_TOKEN_8803,0
TXN_DEMO_00019,2026-03-01 12:15:30,3400.00,INR,CUST_1011,MERCH_ELECTRONICS_02,DEV_SAMSUNG_662,CARD_TOKEN_8811,0
TXN_DEMO_00020,2026-03-01 12:30:00,120.00,INR,CUST_1012,MERCH_TRANSIT_02,DEV_MOTO_331,CARD_TOKEN_8812,0
TXN_DEMO_00021,2026-03-01 13:00:20,3800.00,INR,CUST_1013,MERCH_TRAVEL_01,DEV_NEW_TABLET_55,CARD_TOKEN_8813,0
TXN_DEMO_00022,2026-03-01 13:15:00,450.00,INR,CUST_1004,MERCH_FOOD_02,DEV_SAMSUNG_441,CARD_TOKEN_8804,0
TXN_DEMO_00023,2026-03-01 13:30:10,65000.00,INR,CUST_1014,MERCH_LUXURY_01,DEV_NEW_LAPTOP_99,CARD_TOKEN_8814,1
TXN_DEMO_00024,2026-03-01 13:45:25,980.00,INR,CUST_1015,MERCH_BOOKS_01,DEV_KINDLE_221,CARD_TOKEN_8815,0
TXN_DEMO_00025,2026-03-01 14:00:00,520.00,INR,CUST_1005,MERCH_FOOD_08,DEV_IPHONE_772,CARD_TOKEN_8805,0
TXN_DEMO_00026,2026-03-01 14:15:40,1650.00,INR,CUST_1016,MERCH_RETAIL_09,DEV_ANDROID_112,CARD_TOKEN_8816,0
TXN_DEMO_00027,2026-03-01 14:30:00,4200.00,INR,CUST_1017,MERCH_HEALTH_01,DEV_IPHONE_883,CARD_TOKEN_8817,0
TXN_DEMO_00028,2026-03-01 14:45:10,310.00,INR,CUST_1006,MERCH_COFFEE_02,DEV_XIAOMI_551,CARD_TOKEN_8806,0
TXN_DEMO_00029,2026-03-01 15:00:00,12500.00,INR,CUST_1018,MERCH_ELECTRONICS_01,DEV_MACBOOK_441,CARD_TOKEN_8818,0
TXN_DEMO_00030,2026-03-01 15:15:20,850.00,INR,CUST_1001,MERCH_SUPERMARKET_03,DEV_ANDROID_991,CARD_TOKEN_8801,0
TXN_DEMO_00031,2026-03-01 15:30:45,9500.00,INR,CUST_1019,MERCH_TRAVEL_02,DEV_IPHONE_554,CARD_TOKEN_8819,0
TXN_DEMO_00032,2026-03-01 15:45:00,240.00,INR,CUST_1007,MERCH_FOOD_01,DEV_ONEPLUS_881,CARD_TOKEN_8807,0
TXN_DEMO_00033,2026-03-01 16:00:15,1420.00,INR,CUST_1020,MERCH_RETAIL_01,DEV_SAMSUNG_772,CARD_TOKEN_8820,0
TXN_DEMO_00034,2026-03-01 16:15:30,2800.00,INR,CUST_1021,MERCH_SPORTS_01,DEV_PIXEL_331,CARD_TOKEN_8821,0
