transaction_id,timestamp,amount,ml_probability,graph_ring_score,graph_ring_candidate,decision,is_intervention,primary_trigger,policy_version
1,2025-01-01 13:29:23,5648.15,0.0006,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
2,2025-01-01 16:18:10,1250.42,0.0,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
3,2025-01-02 01:05:54,4167.14,0.0002,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
4,2025-01-02 02:52:37,1867.92,0.0,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
5,2025-01-02 08:06:27,2858.06,0.0005,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
6,2025-01-02 11:34:26,3045.68,0.0002,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
7,2025-01-02 13:48:06,1931.58,0.0002,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
8,2025-01-02 14:36:46,1619.55,0.0,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
9,2025-01-02 14:52:46,2261.01,0.0,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
10,2025-01-02 19:53:17,1454.13,0.0,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
11,2025-01-02 21:19:10,2219.52,0.0001,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
12,2025-01-02 22:04:08,10017.8,0.0003,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
13,2025-01-02 23:53:02,3762.63,0.0002,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
14,2025-01-03 09:08:51,5170.7,0.0001,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
15,2025-01-03 11:29:33,6939.69,0.0,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
16,2025-01-03 12:16:35,3681.39,0.0001,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
17,2025-01-03 13:04:11,627.19,0.0001,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
18,2025-01-03 15:15:45,3352.94,0.0009,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
19,2025-01-03 15:54:49,2030.35,0.0,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
20,2025-01-03 16:33:03,1201.26,0.0,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
21,2025-01-03 17:39:31,1553.7,0.0,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
22,2025-01-03 17:43:22,2156.71,0.0,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
23,2025-01-03 17:44:03,1531.09,0.0,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
24,2025-01-03 17:49:15,886.1,0.0001,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
25,2025-01-03 18:09:31,3578.0,0.0001,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
26,2025-01-03 18:37:17,2810.59,0.0016,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
27,2025-01-03 19:10:44,1626.59,0.0002,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
28,2025-01-03 19:37:27,1232.55,0.0,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
29,2025-01-03 20:44:47,4308.14,0.0004,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
30,2025-01-03 20:52:04,2029.32,0.0003,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
31,2025-01-03 23:09:09,2230.87,0.001,0.0,0,APPROVE,0,APPROVED_LOW_RISK,sentinelrisk-policy-v1
