id,transaction_id,reason,status,created_at
1,115,product_not_received,resolved,2025-01-18 04:33:13
2,180,billing_error,resolved,2025-01-25 09:34:43
3,43,billing_error,under_review,2025-01-28 08:11:19
4,508,cancelled_recurring,resolved,2025-02-02 23:54:32
5,1832,product_not_received,resolved,2025-02-05 12:08:26
6,2558,fraud_reported,escalated,2025-02-06 02:27:23
7,2851,billing_error,resolved,2025-02-07 00:44:55
8,793,cancelled_recurring,under_review,2025-02-07 10:10:35
9,2572,unauthorized_transaction,resolved,2025-02-07 10:25:31
10,2563,card_compromised,resolved,2025-02-09 04:57:44
11,188,billing_error,escalated,2025-02-09 19:13:55
12,876,cancelled_recurring,under_review,2025-02-12 05:49:45
13,2421,cancelled_recurring,resolved,2025-02-12 21:30:22
14,3024,billing_error,resolved,2025-02-13 04:24:02
15,3978,unauthorized_transaction,open,2025-02-14 08:25:19
16,3547,product_not_received,resolved,2025-02-14 13:49:20
17,1220,billing_error,resolved,2025-02-15 11:16:49
18,2567,fraud_reported,open,2025-02-16 10:11:17
19,72,cancelled_recurring,under_review,2025-02-17 05:53:03
20,5292,cancelled_recurring,open,2025-02-17 12:03:35
21,4274,billing_error,under_review,2025-02-17 17:52:05
22,3991,card_compromised,open,2025-02-18 05:06:11
23,317,product_not_received,under_review,2025-02-18 14:45:47
24,5081,unauthorized_transaction,resolved,2025-02-18 15:38:43
25,4014,defective_merchandise,under_review,2025-02-19 12:42:35
26,1630,cancelled_recurring,under_review,2025-02-19 16:53:00
27,2557,fraud_reported,resolved,2025-02-19 21:51:36
28,4977,unauthorized_transaction,resolved,2025-02-20 01:16:23
29,4570,fraud_reported,under_review,2025-02-20 09:43:09
30,5675,defective_merchandise,resolved,2025-02-20 17:30:01
31,4516,billing_error,resolved,2025-02-20 17:31:43
32,720,billing_error,resolved,2025-02-21 07:43:11
33,2130,defective_merchandise,resolved,2025-02-22 06:52:43
34,1679,cancelled_recurring,under_review,2025-02-22 16:01:11
35,3461,cancelled_recurring,under_review,2025-02-22 20:47:28
36,5102,fraud_reported,resolved,2025-02-23 12:23:06
37,4580,card_compromised,open,2025-02-23 23:33:10
38,6341,fraud_reported,under_review,2025-02-24 12:43:32
39,5159,fraud_reported,escalated,2025-02-25 03:29:40
40,4569,fraud_reported,resolved,2025-02-26 17:32:35
41,8147,defective_merchandise,under_review,2025-02-26 18:41:39
42,7338,fraud_reported,open,2025-02-28 16:52:30
43,8074,card_compromised,escalated,2025-03-01 15:48:25
44,2561,card_compromised,open,2025-03-02 11:56:58
45,4820,defective_merchandise,resolved,2025-03-02 13:37:49
46,7563,unauthorized_transaction,resolved,2025-03-03 06:13:11
47,2654,defective_merchandise,resolved,2025-03-03 16:44:00
48,5383,product_not_received,open,2025-03-04 17:03:22
49,7520,fraud_reported,resolved,2025-03-05 04:11:11
50,7812,defective_merchandise,resolved,2025-03-05 05:18:15
51,10379,fraud_reported,under_review,2025-03-05 09:14:37
52,5625,billing_error,resolved,2025-03-06 07:19:31
53,10813,fraud_reported,open,2025-03-06 18:51:08
54,3628,defective_merchandise,resolved,2025-03-06 19:02:27
